"State","Candidate","County","N","BF.p","Mu","Mu.SE","Sigma","Sigma.SE","KS.P","F.BF.p"
"NE","Donald Trump","Garden ",7,0.0027,4.0057,1.0958,2.7085,1.0428,0.082,29.8337
"NE","Donald Trump","Gosper ",7,0.0027,3.5378,1.4121,3.3872,1.4807,0.078,16.1319
"NE","Hillary Clinton","Cheyenne ",12,3e-04,3.9347,0.4142,1.3694,0.3543,0.362,38.895
"NE","Hillary Clinton","Garden ",7,0.0027,2.4323,0.9979,2.391,1.0377,0.075,16.46
"NY","Donald Trump","Jefferson ",69,0.0162,5.8735,0.0617,0.4888,0.0476,0.318,31.1191
"TN","Hillary Clinton","Dyer ",17,0.0478,5.142,0.2317,0.9151,0.1809,0.322,42.855
"WA","Donald Trump","Franklin ",104,3e-04,4.8887,0.0842,0.8215,0.066,0.427,18.8727
"WA","Hillary Clinton","Mason ",39,0.0441,5.8382,0.0671,0.403,0.0535,0.288,21.1508
